FileNames,OrginalFileID,Labels,Class,Type
1.PNG,20150922134027,D,2,Train
10.PNG,20150922134215,D,2,Test
100.PNG,20151027123112,D,2,Train
1000.PNG,2016011516324144,N,3,Test
1001.PNG,2016011516324145,N,3,Validation
1002.PNG,2016011516324146,N,3,Train
1003.PNG,2016011516324147,N,3,Train
1004.PNG,2016011516324148,N,3,Train
1005.PNG,2016011516324149,N,3,Train
1006.PNG,2016011516324150,N,3,Train
1007.PNG,2016011517500100,I,0,Train
1008.PNG,2016011517500101,I,0,Train
1009.PNG,2016011517500103,I,0,Train
101.PNG,20151027123116,D,2,Train
1010.PNG,2016011517500104,I,0,Test
1011.PNG,2016011517500105,I,0,Train
1012.PNG,2016011517500106,I,0,Test
1013.PNG,2016011517500110,I,0,Test
1014.PNG,2016011517500111,I,0,Train
1015.PNG,2016011517500112,I,0,Train
1016.PNG,2016011517500113,I,0,Train
1017.PNG,2016011517500114,I,0,Validation
1018.PNG,2016011517500115,I,0,Train
1019.PNG,2016011517500116,I,0,Train
102.PNG,20151027105942,P,1,Test
1020.PNG,2016011517500117,I,0,Train
1021.PNG,2016011517500118,I,0,Train
1022.PNG,2016011517500119,I,0,Train
1023.PNG,2016011517500120,I,0,Train
1024.PNG,2016011517500221,I,0,Train
1025.PNG,2016011517500222,I,0,Validation
1026.PNG,2016011517500223,I,0,Train
1027.PNG,2016011517500225,I,0,Train
1028.PNG,2016011517500226,I,0,Train
1029.PNG,2016011517500227,I,0,Train
103.PNG,20151027105947,P,1,Validation
1030.PNG,2016011517500228,I,0,Train
1031.PNG,2016011517500229,I,0,Train
1032.PNG,2016011517500230,I,0,Validation
1033.PNG,2016011517500231,I,0,Test
1034.PNG,2016011517500232,I,0,Test
1035.PNG,2016011517500233,I,0,Train
1036.PNG,2016011517500234,I,0,Train
1037.PNG,2016011517500235,I,0,Validation
1038.PNG,2016011517500237,I,0,Test
1039.PNG,2016011517500238,I,0,Validation
104.PNG,20151027105953,P,1,Test
1040.PNG,2016011517500242,I,0,Test
1041.PNG,2016011517500243,I,0,Train
1042.PNG,2016011517500244,I,0,Train
1043.PNG,2016011517500245,I,0,Train
1044.PNG,2016011517500247,I,0,Train
1045.PNG,2016011517500248,I,0,Train
1046.PNG,2016011517500249,I,0,Test
1047.PNG,2016011517500250,I,0,Train
1048.PNG,2016011517500251,I,0,Test
1049.PNG,2016021116240000,I,0,Train
105.PNG,20151027110000,P,1,Test
1050.PNG,2016021116240001,I,0,Train
1051.PNG,2016021116240002,I,0,Train
